"","name","pvalue","estimate","expression","BH"
"15215","GO_CHROMOSOME_TELOMERIC_REGION",0.0203884617993145,0.146663229758485,"UP",0.169562664891303
"15216","GO_CHROMOSOME_TELOMERIC_REGION",0.834281567477008,0.774714273699439,"Down",1
"15217","GO_TELOMERE_CAP_COMPLEX",1,0,"UP",1
"15218","GO_TELOMERE_CAP_COMPLEX",1,0,"Down",1
"15219","GO_NUCLEAR_CHROMOSOME_TELOMERIC_REGION",0.0608202792090056,0.188852302656823,"UP",0.352531087898249
"15220","GO_NUCLEAR_CHROMOSOME_TELOMERIC_REGION",0.484027873351082,0.58641229427635,"Down",1
"15221","GO_CHROMATIN",0.829047884802376,1.03214739569279,"UP",1
"15222","GO_CHROMATIN",0.313880595839651,0.848696726744139,"Down",0.878781905502177
"15223","GO_NUCLEAR_NUCLEOSOME",1,0,"UP",1
"15224","GO_NUCLEAR_NUCLEOSOME",1,0,"Down",1
"15225","GO_EUCHROMATIN",0.402660587076155,0,"UP",0.960456778880443
"15226","GO_EUCHROMATIN",0.674909354588779,1.2581746388441,"Down",1
"15227","GO_HETEROCHROMATIN",0.256457119021475,0.277154016907276,"UP",0.808687405452853
"15228","GO_HETEROCHROMATIN",1,0.873867865323138,"Down",1
"15229","GO_CONDENSED_CHROMOSOME",0.00944431684070114,0.263317009435555,"UP",0.100572916817876
"15230","GO_CONDENSED_CHROMOSOME",0.422525568417662,1.24576281617293,"Down",0.977529052767026
"15231","GO_CONDENSED_NUCLEAR_CHROMOSOME",0.0208338016557967,0,"UP",0.172151228323965
"15232","GO_CONDENSED_NUCLEAR_CHROMOSOME",0.619169680818839,1.17221742253494,"Down",1
"15233","GO_CONDENSIN_COMPLEX",1,0,"UP",1
"15234","GO_CONDENSIN_COMPLEX",0.430375462624135,1.99220462958946,"Down",0.977529052767026
"15235","GO_NUCLEAR_COHESIN_COMPLEX",1,0,"UP",1
"15236","GO_NUCLEAR_COHESIN_COMPLEX",1,0,"Down",1
"15237","GO_LATERAL_ELEMENT",1,0,"UP",1
